中国中共中央党校	销售部经理
沈阳大学	销售经理,机械工程师,人事主管,软件工程师,项目经理,土建工程师,技术支持工程师,人事专员,会计,行政助理
梧州八中	营业员
海南函大，武汉成大	营销总监
Yunnan Normal University College of Arts and Sciences	设计助理
北京社会管理研究科学院	常务副总
木渎实验中学	招聘专员,人事专员,行政专员
简阳镇金普高	商务司机
Chongqing University of Posts and Telecommunications	软件工程师，DSP软件开发，嵌入式,客户技术支持
计算机学院	司机兼助理
China Textile University	merchandising manager,divisional manager,sourcing manager
广州市城建职业学院	施工员
加州大学欧文分校（UCI）	
中山火炬职院	外贸跟单员,外贸业务员,销售业务员
职业核心能力	
北大燕园园丁研究院	软件工程师,工装深化施工图设计,工装深化设计,方案设计,其他
武汉市工贸职业学院	人事专员
常德市职业技术学院	深圳市瑰塑胶工业有限公司,维修工程师
明斯克国立语言大学	销售经理,翻译,助理
泸州医学院	生产部副经理（兼液体车间主任、党支部副书记）,内外科均可,实习医生,手术室护士,护士,证券期货交易员,病房护士,银行大堂经理,新生儿科医生
广州北大青鸟广州科苑	网络管理,seo,网络推广
英国北安普顿大学	财务助理,运营专员,市场部人员
长沙三湘中等专业学校	维修工程师
南京航运学校	法务,律师
陕西省白水高中	成本主管,其他相近职位
湖南隆回技术学校	总经理
交通职业学院	会计
北京印刷学院	编辑,美术编辑,产品经理,策划,平面设计,机械工程师,项目管理,创意设计,电气工程师,硬件工程师
西安信息机电学院	Java工程师
Shenyang Industrial University	Department Director( Director Assistant )
湖北国土职业资源学院	电话销售+实施工程师
北京市八一农业机械化学校	电话销售组长及销售助理
徐州工业干部学院	信息部部长
火星时代培训基地	建筑表现渲染师
武汉微普信息技术有限公司	java软件工程师/java程序员
美国北方大学	销售总监,副总,部门经理
兵器工程师进修大学	生产经理，厂长
Polytech Lille(工程师学院)	工程师助理
濮阳教育学院	市场调查员,电气工程师,办公室副主任、人资专员,业务经理
北京市朝阳区	电气工程师
德国亚琛工业大学	德语翻译 德语教师 德语市场专员
中国人民解放军兰州军区	人事专员
长沙商贸旅游职业技术学院	会计,出纳,财务助理,客户体验分析师,广告营销策划,财务,运营,培训主管,内外贸销售,销售
常宁市第一职业中学	司机
华大	平面广告设计师
TopInformationTechnology College	PMC superviser
广州市外语外贸大学	行政助理兼财务
江苏江阴乔和大学	客服专员,助理/文员,销售
绵阳御营职业中学	厨师
深圳达内科技	C++软件工程师,项目协调,数据库管理,程序员
汉沽中专	叉车司机,普工,司机
东北师范大学美术系	厂长  副厂长,总经理   副总经理,室内设计总监,综合办主任，办主任,企划/展览策划/市场推广/媒介主管/总助
湖北思远信息技术有限公司	文案,销售,总经理助理
盐城高级职业学校	置业顾问
四川阆中师范学习	平面设计,美工
烟台信息工程学校	包装师
湖南省湘西民族交通学校	区域销售经理
江西劳动保障电脑学校	会计助理
烟台电子工业学校	市场部经理
里昂第二大学	培训市场总监
华中科技大学(原华中理工大学)	销售工程师,营销中心总经理
辽宁省锦州市渤海大学	测试
青岛航空专修学校	培训老师、人力资源,俄语翻译兼业务员
保定美术学院	经理,主管
四川省农业管理干部学院	总经理,分支机构负责人,运营总监
苏州大学艺术学院	营销总监,产品总监,运营总监,景观设计,效果,绘图
福建金融学院	外贸主管,采购主管,品质主管
天津雍阳中专	电算化,会计,出纳
江苏省淮阴工学院	c语言软件工程师,财务助理,软件开发,嵌入式,预算主管,会计,有机合成人员,技术,出纳
Nanchang Univercity	外贸业务
湘南大学	职业经理,企业管理,制造副总、经理人
北京市总工会大学	网站编辑,风险监控部
天津市武清区崔黄口镇中	大货司机
多维电脑学校	精度管理
ChangSha Aeronautics College	IT Engineer
太原伯恩公共关系	生产厂长
exact	风险管理部 授信审查审批,运营副总
北京市崇文区成人教育局	北京华联超市客服部收银主管
四川营山第二中学	生产技术指导员，工艺师
江汉大学实验师范学院	人事专员,资料员,造价员
湖北省商业专科学校	深圳市家顺康食品有限公司
江西省财经职业学院	财务主管
东北师范大学（自考本科）	小学语文.数学教师,销售
白云技师学院	电工
武汉轻工大学（原武汉工业学院）	项目经理,财务经理,审计经理
鸡西大学	置业顾问（代理主管）,销售经理,跟单员,销售主管,保险主管,人事专员,会计,文员,java软件工程师,经理助理
四川省武警指挥消防学校	销售
黄冈理工中专	电路板焊接,人事专员/社保专员,铲车司机
Changchun University of Science and Technology	托福教师,Digital Product Group,项目工程师,技术支持,翻译,售后服务工程师,雅思老师
哈尔滨电力职业技术学院	项目经理,水处理工程师,运行值班员,ios软件工程师,ios测试工程师,ios运维工程师,大客户经理
上海市缝纫机一厂技工学校	物业总监,物业经理,物业总经理
中关村学院	前端工程师,人事行政专员
Hegang Normal College	企划专员
河北体育学院	英语翻译,人力资源助理,市场专员,软件工程师,行政助理,体育教师,市场主管,摄影师，摄影总监, 物流总监 ,外贸助理
信阳师院 郑州大学	
邵阳市榕成模具学校	模具师傅
金肯学院	统计,排版,平面设计,测绘组长,美术编辑,出纳
江苏淮安技术学校	
哈尔滨科技大学（现哈理工大学）	高级软件工程师
河北环保职业学院	销售总监,渠道销售总监
西南交流大学网络教育学院	保安部经理
广西金秀县职业技术学院	铣工,钳工,数控车工
重庆信息学院	BI开发,BI产品经理,BI系统架构师,督导,IT经理、系统集成售前经理，,软件认证测试工程师,助理,运营主管,市场主管/经理,销售主管
Texas A&M	
甘肃国防科技工业学校	生产厂长
重庆大学、重庆电大	电气技术管理,电气工程师,副总
乌克兰国立哈尔科夫经济大学	翻译,酒店管理
武汉理工（原武汉工业大学）	面议
东莞市育才职业技术学校	实习生会计,业务员
潍坊工业学校	前台接待,会计、会计主管
兰棱高中	
南京工程学院	电气工程师,机械工程师,网络工程师,项目经理,施工员,机械设计,软件测试,技术员,结构工程师,产品造型设计
解放军信息工程大学电子技术学院	置业顾问
房地产职工大学	财务经理/财务主管,项目经理,会计主管,投资部经理,会计经理
湖南省外贸职业学院	外贸跟单员
河口中学	普工
右江民族医学院	兼职,住院医生
沪东中华造船集团技术学校	阀门售后服务工程师
山西长治	销售区域主管,行政管理
北京广播大学	会计、总账会计、主管会计、财务经理,策划,产品经理
首都经贸大学金融学院经济学学士	经理助理、内勤
北京航空航天大学  管理学院	企划总监,市场总监,品牌总监
广西龙州县龙州中学	行政人事经理
湖南城市建设高等专科学校	商业广场指挥部工程部经理、总工办副主任、工程造价总监、副总工程师
安徽国防科技职业学院	项目执行助理,采购 售后技术支持 采购质量管理 销售,软件开发工程师,施工员,IE工程师,数据库开发工程师,测量员,PHP实习,PE工程师,实习生
北京市第三中学	酒店总经理,酒店业主代表,物业总经理
丰县华山中学	车间班组长,焊工,机械装配
南昌市广播电视中专	办公室文员,经理助理,行政助理
滨海现代教育中心	焊工
邵东七中	物流经理
武汉体育学院体育科技学院	华东区经理助理
河北省涿州市百尺竿中学	安全员
华中信息商务技工学校	机电工程师
清华大学-香港中文大学	所长
昆明市旅游学校	店长,导购员,领班
日本名古屋大学	研发工程师，研发助理，材料工程师,市场开发
北京火星时代实训基地	CAD施工图,工装设计师助理,家装设计师助理
新亚中学	后期制作,摄像师,视频编辑
赣南教育学院	采购主管/销售主管
哈广播电视大学	核算、出纳、记账员
湖南省工业机械学校	人事专员,工程师
河南省巩义市市直高中	汽车销售顾问
龙大集团国际研修事业部	制造管理四科科长
中国人民解放军基本建设工程兵第三技术学校	高级工程师,机械工程师
中央美术学院展望工作室	设计管理
潮阳第四中学校	文职
汕头电大	文员
滦平职业技师学院	置业顾问
武汉科技	工程师
湖南邮电职业技术学院	软件测试,游戏测试
宣武区党校	
斯旺西大学	IT
成都理工大学广播影视学院	推广顾问,行政人事专员,设计师,发行专员,编导 客服 ,Administration,12530说唱就唱栏目组 实习,市场专员,人事助理,营销经理
北京建工学校	物业公司经理
上海时尚之都服装学院	运营主管
北京交通大学(211)	Research and technology center
武汉芯宇电脑维修技术有限公司	管理员
韩国顺天乡大学	市场部推广专员,韩语翻译助理
驻马店市安全生产学校	顺德区大良君来酒店
青岛华育国际IT信息培训学校	seo,java开发,软件实施
上海青年干部管理学院	销售经理
高唐中学	焊接
英国卢顿大学--商学院	
太原理工大学（自学考试）	机械工程师，机械类/工程类相关职位
